参数编号,CoE Index,参数名称,类型,位宽,访问,PDO映射,默认值,所属组,示波器推荐通道
P0-73,0x2049,DRV's Parameter  P0-73,UDINT,32,ro,T,-,P0,—
P0-74,0x204A,DRV's Parameter  P0-74,UDINT,32,ro,T,-,P0,—
P0-75,0x204B,DRV's Parameter  P0-75,UDINT,32,ro,T,-,P0,—
P0-76,0x204C,DRV's Parameter  P0-76,UDINT,32,ro,T,-,P0,—
P1-00,0x2100,DRV's Parameter  P1-00,UINT,16,rw,RT,-,P1,—
P1-01,0x2101,DRV's Parameter  P1-01,UINT,16,rw,RT,-,P1,—
P1-02,0x2102,DRV's Parameter  P1-02,UINT,16,rw,RT,-,P1,—
P1-03,0x2103,DRV's Parameter  P1-03,UINT,16,rw,RT,-,P1,—
P1-04,0x2104,DRV's Parameter  P1-04,UINT,16,rw,RT,-,P1,—
P1-05,0x2105,DRV's Parameter  P1-05,UINT,16,rw,RT,-,P1,—
P1-06,0x2106,DRV's Parameter  P1-06,UINT,16,rw,RT,-,P1,—
P1-07,0x2107,DRV's Parameter  P1-07,UINT,16,rw,RT,-,P1,—
P1-08,0x2108,DRV's Parameter  P1-08,UINT,16,rw,RT,-,P1,—
P1-09,0x2109,DRV's Parameter  P1-09,UDINT,32,rw,RT,-,P1,—
P1-10,0x210A,DRV's Parameter  P1-10,UDINT,32,rw,RT,-,P1,—
P1-11,0x210B,DRV's Parameter  P1-11,UDINT,32,rw,RT,-,P1,—
P1-12,0x210C,DRV's Parameter  P1-12,UINT,16,rw,RT,-,P1,—
P1-13,0x210D,DRV's Parameter  P1-13,UINT,16,rw,RT,-,P1,—
P1-14,0x210E,DRV's Parameter  P1-14,UINT,16,rw,RT,-,P1,—
P1-15,0x210F,DRV's Parameter  P1-15,UINT,16,ro,T,-,P1,—
P1-16,0x2110,DRV's Parameter  P1-16,UINT,16,ro,T,-,P1,—
P1-17,0x2111,DRV's Parameter  P1-17,UINT,16,rw,RT,-,P1,—
P1-18,0x2112,DRV's Parameter  P1-18,UINT,16,ro,T,-,P1,—
P1-19,0x2113,DRV's Parameter  P1-19,UINT,16,ro,T,-,P1,—
P1-20,0x2114,DRV's Parameter  P1-20,UDINT,32,ro,T,-,P1,—
P1-21,0x2115,DRV's Parameter  P1-21,UINT,16,ro,T,-,P1,—
P1-22,0x2116,DRV's Parameter  P1-22,UINT,16,ro,T,-,P1,—
P1-23,0x2117,DRV's Parameter  P1-23,UDINT,32,ro,T,-,P1,—
P1-24,0x2118,DRV's Parameter  P1-24,UINT,16,ro,T,-,P1,—
P1-25,0x2119,DRV's Parameter  P1-25,UINT,16,rw,RT,-,P1,—
P1-26,0x211A,DRV's Parameter  P1-26,UINT,16,rw,RT,-,P1,—
P1-27,0x211B,DRV's Parameter  P1-27,UINT,16,rw,RT,-,P1,—
P1-28,0x211C,DRV's Parameter  P1-28,UINT,16,rw,RT,-,P1,—
P1-29,0x211D,DRV's Parameter  P1-29,UINT,16,rw,RT,-,P1,—
P1-30,0x211E,DRV's Parameter  P1-30,UDINT,32,rw,RT,-,P1,—
P1-31,0x211F,DRV's Parameter  P1-31,UINT,16,rw,RT,-,P1,—
P1-32,0x2120,DRV's Parameter  P1-32,UINT,16,rw,RT,-,P1,—
P1-33,0x2121,DRV's Parameter  P1-33,UINT,16,ro,T,-,P1,—
P1-34,0x2122,DRV's Parameter  P1-34,UINT,16,rw,RT,-,P1,—
P1-35,0x2123,DRV's Parameter  P1-35,UINT,16,rw,RT,-,P1,—
P1-36,0x2124,DRV's Parameter  P1-36,UINT,16,rw,RT,-,P1,—
P1-37,0x2125,DRV's Parameter  P1-37,UDINT,32,rw,RT,-,P1,—
P1-38,0x2126,DRV's Parameter  P1-38,UINT,16,rw,RT,-,P1,—
P1-39,0x2127,DRV's Parameter  P1-39,UINT,16,rw,RT,-,P1,—
P1-40,0x2128,DRV's Parameter  P1-40,UDINT,32,rw,RT,-,P1,—
P1-41,0x2129,DRV's Parameter  P1-41,UINT,16,rw,RT,-,P1,—
P1-42,0x212A,DRV's Parameter  P1-42,UINT,16,rw,RT,-,P1,—
P1-43,0x212B,DRV's Parameter  P1-43,UINT,16,rw,RT,-,P1,—
P1-44,0x212C,DRV's Parameter  P1-44,UDINT,32,rw,RT,-,P1,—
P1-45,0x212D,DRV's Parameter  P1-45,UDINT,32,rw,RT,-,P1,—
