参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P1-72,0x2148,辅助编码器全闭环的分辨率,DRV's Parameter  P1-72,UDINT,32,rw,RT,| pulse/rev |,| 200 ~ 1280000 |,| 5000 |,| PT / PR* (全闭环) |,P1,—,| 电机转一圈时全闭环所对应的A/B Pulse数(四倍频之后)。 | 注：尚未支持PR全闭环功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-73,0x2149,主编码器与辅助编码器的回授位置误差保护范围,DRV's Parameter  P1-73,UDINT,32,rw,RT,| pulse (以全闭环回授为基准) |,| 1 ~ (2 | 31 | -1) |,| 30000 |,| PT / PR*(全闭环) |,P1,—,| 全闭环模式下，当辅助编码器回授的脉冲数与主编码器回授的脉冲数两者之间差异过大，代表连接器可能松脱或是发生其他机构上的问题。当误差大于P1.073所设定的值时，伺服就发出异警AL040(全闭环位置控制误差过大)。 | 注：尚未支持PR全闭环功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-74,0x214A,全闭环功能控制开关,DRV's Parameter  P1-74,UINT,16,rw,RT,| - |,| 0000h ~ F132h |,| 0x0000 |,| PT / PR* (全闭环) |,P1,—,| X | 全闭环 / 龙门功能开关 | Z | 辅助编码器回授正反向选择 | Y | OA/OB/OZ输出来源选择 | U | CN5回授脉冲滤波宽度设定 | X：全闭环 / 龙门功能开关 | 0：关闭全闭环/龙门功能 | 1：开启全闭环功能 | 2：开启龙门同动的功能 | Y：OA/OB/OZ输出来源选择 | 0：来源为CN2编码器 | 1：来源为CN5编码器 | (若此时P1.097 = 0
P1-75,0x214B,全 / 半闭环位置检测器误差的低通滤波器,DRV's Parameter  P1-75,UINT,16,rw,RT,| ms |,| 0 ~ 1000 |,| 100 |,| PT / PR*(全闭环) |,P1,—,| 当全闭环与半闭环之间的传动机构刚性不足的情况下，可以设定适当的时间常数，以提高系统的稳定性。也就是瞬时时产生半闭环的效果，稳态之后又可以形成全闭环效果。当刚性足够时则可以直接Bypass。设为0时关闭低通滤波功能(Bypass)。 | 若传动机构刚性较强，可将P1.075设定值调小，或直接设为0关闭。若传动机构刚性较软，需将P1.075设定值调大。 | 注：尚未支持PR全闭环功能。 | > |
P1-76,0x214C,▲,DRV's Parameter  P1-76,UINT,16,rw,RT,| 1 rpm (旋转)* | 1 mm/s (直线)* |,| 0 ~ 7500 (旋转)* | 0 ~ 15999 (直线)* |,| 5500 |,| All |,P1,—,| 设定略大于用户欲使用的最大的电机转速。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-77,0x214D,保留,DRV's Parameter  P1-77,UINT,16,rw,RT,,,,,P1,—,
P1-78,0x214E,增益切换延迟时间,DRV's Parameter  P1-78,UINT,16,rw,RT,| ms |,| 0 ~ 32767 |,| 0 |,| PT / PR / S / Sz |,P1,—,| 使用增益切换功能(P2.027.X = 3或7)时，本参数可设定达成切换条件后的延迟时间。详细说明请参考参数P2.027之说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-79,0x214F,增益切换延迟期间增益变动比率,DRV's Parameter  P1-79,UINT,16,rw,RT,| % |,| 0 ~ 500 |,| 100 |,| PT / PR / S / Sz |,P1,—,| 设定增益切换延迟期间的增益变动比率。 | 若P1.078为0时，此功能关闭。 | 于P1.078所设定的延迟时间内，P2.000(位置控制比例增益)、P2.004(速度控制增益) 与P2.006(速度积分补偿)之设定值将被P1.079的设定值所影响。详细说明请参考参数P2.027。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-80,0x2150,速度检测滤波及微振抑制变动比率,DRV's Parameter  P1-80,UINT,16,rw,RT,| % |,| 0 ~ 100 |,| 100 |,| PT / PR / S / Sz |,P1,—,| 依据增益切换条件切换速度检测滤波及微振抑制(P2.049)之变动率。(此参数与P2.049的数值成反比，当此设定值越小，滤波效果越强) | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-81,0x2151,類比速度指令最大转速2,DRV's Parameter  P1-81,UDINT,32,rw,RT,| 1 rpm (旋转)* | 1 mm/s (直线)* |,| 0 ~ 50000 (旋转)* | 0 ~ 15999 (直线)* |,| 额定转速 |,| S / T |,P1,—,| 请参考参数P1.040之说明。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-82,0x2152,P1.040与P1.081切换时间常数,DRV's Parameter  P1-82,UINT,16,rw,RT,| ms |,| 0 ~ 1000 (0：关闭此功能) |,| 0 |,| S / T |,P1,—,| 0：关闭切换时间常数。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-83,0x2153,异常模拟量速度电压的准位值,DRV's Parameter  P1-83,UINT,16,rw,RT,| mV |,| 0 ~ 12000 (0：关闭此功能) |,| 0 |,| S |,P1,—,| 当模拟量输入电压绝对值持续高于此参数设定值超过50 ms，伺服将发出AL042异警，其比较准位为模拟量输入电压未经P4.022处理的原始电压。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-84,0x2154,全 / 半闭环切换时误差清除功能,DRV's Parameter  P1-84,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0001 |,| 0x0000 |,| PT / PR | *1 | (全闭环) |,P1,—,| X | 半闭环切换全闭环误差清除功能 | Z | 保留 | Y | 保留 | U | 保留 | X：半闭环切换全闭环误差清除功能 | *2 | 0：切换时，清除误差。 | 在半闭环模式下，命令将参考电机编码器，切换至全闭环后，位置不会移动。 | 1：切换时，不清除误差。 | 在半闭环模式下，命令将参考电机编码器，切换至全闭环后，在半闭环所下达的命令，将会成为全闭环的命令，位置将会移动。 | 注
P1-85,0x2155,自动清除主编码器与辅助编码器之间的回授位置误差量,DRV's Parameter  P1-85,UINT,16,rw,RT,| rev |,| 0 ~ 32768 (0：关闭此功能) |,| 0 |,| PT / PR* (全闭环) |,P1,—,| 此参数为设定主编码器与辅助编码器之间回授位置的误差上限，当电机旋转圈数大于或等 | 于此参数值，系统会自动将误差清除为零。 | 注：尚未支持PR全闭环功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-86,0x2156,保留,DRV's Parameter  P1-86,UINT,16,rw,RT,,,,,P1,—,
P1-87,0x2157,扭力原点复归 - 侦测扭力准位,DRV's Parameter  P1-87,UINT,16,rw,RT,| % |,| 1 ~ 300 |,| 1 |,| PR |,P1,—,| 此设定只能用于扭力原点复归模式。如下图，在触发原点复归后，电机会往单方向运转并使机构碰到防撞块，伺服驱动器为了对抗外力(防撞块)，因而输出更大的电机电流。伺服驱动器利用P1.087与P1.088作为原点复归的判断条件。由于每次机构与防撞块的碰撞位置不一定相同，建议返回找Z脉冲作为原点。 | 注意：电机实际的最大扭力输出会大于侦测扭力准位(P1.087)的10%。例如：设定P1.087 = 50
P1-88,0x2158,扭力原点复归 - 准位到达计时,DRV's Parameter  P1-88,UINT,16,rw,RT,| ms |,| 2 ~ 2000 |,| 2000 |,| PR |,P1,—,| 扭力原点复归模式的 | 扭力准位到达计时 | 设定。若电机扭力持续输出超过P1.087所设定的准位且持续时间超过此设定，即完成原点复归。扭力原点复归模式的时序请详见参数P1.087。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-89,0x2159,挠性补偿1 - 反共振频率,DRV's Parameter  P1-89,UINT,16,rw,RT,| 0.1 Hz |,| 10 ~ 4000 |,| 4000 |,| PT / PR |,P1,—,| 第一组低频抑振的反共振频率设定值。 | 此功能适用在低刚性的挠性机构。挠性机构的特性是在到达目标位置后，会因为刚性不足， | 导致机构前后摆荡，需要较长的时间收敛整定。 | 驱动器提供两组挠性补偿，第一组在P1.089 ~ P1.091，第二组在P1.092 ~ P1.094。而挠性补偿的设定值需通过ASDA-Soft的「 | 系统分析 | 」内的「 | 系统模块 | 」获得，且需开启「 | 
P1-90,0x215A,挠性补偿1 - 共振频率,DRV's Parameter  P1-90,UINT,16,rw,RT,| 0.1 Hz |,| 10 ~ 4000 |,| 4000 |,| PT / PR |,P1,—,| 第一组低频抑振的共振频率设定值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-91,0x215B,挠性补偿1 - 共振差异,DRV's Parameter  P1-91,UINT,16,rw,RT,| 0.1 dB |,| 10 ~ 4000 |,| 10 |,| PT / PR |,P1,—,| 第一组低频抑振的衰减率设定值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-92,0x215C,挠性补偿2 - 反共振频率,DRV's Parameter  P1-92,UINT,16,rw,RT,| 0.1 Hz |,| 10 ~ 4000 |,| 4000 |,| PT / PR |,P1,—,| 第二组低频抑振的反共振频率设定值，设定方法同第一组挠性补偿P1.089。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-93,0x215D,挠性补偿2 - 共振频率,DRV's Parameter  P1-93,UINT,16,rw,RT,| 0.1 Hz |,| 10 ~ 4000 |,| 4000 |,| PT / PR |,P1,—,| 第二组低频抑振的共振频率设定值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-94,0x215E,挠性补偿2 - 共振差异,DRV's Parameter  P1-94,UINT,16,rw,RT,| 0.1 dB |,| 10 ~ 4000 |,| 10 |,| PT / PR |,P1,—,| 第二组低频抑振的衰减率设定值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-95,0x215F,保留,DRV's Parameter  P1-95,UINT,16,rw,RT,,,,,P1,—,
P1-96,0x2160,DRV's Parameter  P1-96,DRV's Parameter  P1-96,UINT,16,rw,RT,—,—,,—,P1,—,
P1-97,0x2161,▲,DRV's Parameter  P1-97,UDINT,32,rw,RT,| - |,| 0 ~ 160000 |,| 0 |,| All |,P1,—,| 当P1.074.Y = 0 (来源为CN2编码器)时： | 当P1.097 = 0时，OA/OB脉冲输出只依据P1.046的设定。(参考范例1) | 当P1.097 ≠ 0时，OA/OB脉冲输出依据P1.046及P1.097的设定。(参考范例2) | 当P1.074.Y = 1 (来源为CN5编码器)时： | 当P1.097 = 0时，OA/OB脉冲输出不参考P1.046的设定，直接以1 : 
P1-98,0x2162,断线侦测保护(UVW)反应时间,DRV's Parameter  P1-98,UINT,16,rw,RT,| ms |,| 0、100 ~ 800 |,| 0 |,| All |,P1,—,| 当电机动力线断线侦测(ALC31)开关开启时(P2.065 [Bit 9] = 1)，此参数能够选择侦测方式的反应时间。 | 设定此参数P1.098 = 0时，使用伺服默认反应时间。 | 设定此参数P1.098不为0时，则设定范围需介于100 ~ 800之间，此时设定的数值为侦测 | 反应的时间。 | 注： | 若需要加快反应时间，建议设定此参数。 | 若在Servo On，伺服未移动的情况下
P1-99,0x2163,保留,DRV's Parameter  P1-99,UINT,16,rw,RT,,,,,P1,—,
P1-100,0x2164,DRV's Parameter  P1-100,DRV's Parameter  P1-100,UINT,16,rw,RT,—,—,,—,P1,—,
P1-101,0x2165,■,DRV's Parameter  P1-101,UINT,16,rw,RT,| mV |,| -10000 ~ +10000 |,| 0 |,| All |,P1,—,| 当Monitor监控来源P0.003 [YX]选择6，则模拟量监控输出电压为P1.101所给定的电压值。 | 注：有效范围为-8V ~ +8V。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-102,0x2166,■,DRV's Parameter  P1-102,UINT,16,rw,RT,| mV |,| -10000 ~ +10000 |,| 0 |,| All |,P1,—,| 当Monitor监控来源P0.003 [YX]选择7，则模拟量监控输出电压为P1.102所给定的电压值。 | 注：有效范围为-8V ~ +8V。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-103,0x2167,保留,DRV's Parameter  P1-103,UINT,16,rw,RT,,,,,P1,—,
P1-104,0x2168,DRV's Parameter  P1-104,DRV's Parameter  P1-104,UINT,16,rw,RT,—,—,,—,P1,—,
P1-105,0x2169,电机防撞保护功能2 - 扭力上限值,DRV's Parameter  P1-105,UINT,16,rw,RT,| % |,| -300 ~ +300 |,| 0 |,| All |,P1,—,| 电机防撞保护功能2开启时(P2.112 [Bit 8] = 1)，电机防撞保护功能1中的扭力百分比(P1.057)与准位偏移(P1.060)设定即无效。电机运行过程中，若电机扭力高于此保护设定值，且此状态持续超过保护的时间(P1.058)，将显示警报AL030。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-106,0x216A,电机防撞保护功能2 - 扭力下限值,DRV's Parameter  P1-106,UINT,16,rw,RT,| % |,| -300 ~ +300 |,| 0 |,| All |,P1,—,| 电机防撞保护功能2开启时(P2.112 [Bit 8] = 1)，电机防撞保护功能1中的扭力百分比(P1.057)与准位偏移(P1.060)设定即无效。电机运行过程中，若电机扭力低于此保护设定值，且此状态持续超过保护的时间(P1.058)，将显示警报AL030。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-107,0x216B,保留,DRV's Parameter  P1-107,UINT,16,rw,RT,,,,,P1,—,
P1-108,0x216C,DRV's Parameter  P1-108,DRV's Parameter  P1-108,UINT,16,rw,RT,—,—,,—,P1,—,
P1-109,0x216D,DRV's Parameter  P1-109,DRV's Parameter  P1-109,UINT,16,rw,RT,—,—,,—,P1,—,
P1-110,0x216E,DRV's Parameter  P1-110,DRV's Parameter  P1-110,UINT,16,rw,RT,—,—,,—,P1,—,
P1-111,0x216F,过速度保护准位,DRV's Parameter  P1-111,UDINT,32,rw,RT,| 1 rpm (旋转)* | 1 mm/s (直线)* |,| 0 ~ 66000 |,| 电机最高速度 x 1.1 |,| All |,P1,—,| 此功能为过速度保护，可作用于所有控制模式下。当电机转速(滤波后)超过此设定转速，则会显示警报AL056。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-112,0x2170,单边扭力限制,DRV's Parameter  P1-112,UINT,16,rw,RT,| % |,| -500 ~ +500 |,| 500 |,| All |,P1,—,| 请参考P4.044之设定说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-00,0x2200,位置控制比例增益,DRV's Parameter  P2-00,UINT,16,rw,RT,| rad/s |,| 0 ~ 2047 |,| 35 |,| PT / PR |,P2,—,| 位置控制增益值加大时，可提升位置应答性及缩小位置控制误差量。但若设定太大时，容易产生振动及噪音。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-01,0x2201,位置控制增益变动比率,DRV's Parameter  P2-01,UINT,16,rw,RT,| % |,| 10 ~ 500 |,| 100 |,| PT / PR |,P2,—,| 依据增益切换条件切换位置控制比例增益(P2.000)之变动率。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-02,0x2202,位置控制前馈增益,DRV's Parameter  P2-02,UINT,16,rw,RT,| % |,| 0 ~ 100 |,| 50 |,| PT / PR |,P2,—,| 位置控制命令平滑变动时，加大增益值可改善位置跟随误差量。若位置控制命令不平滑变动时，降低增益值可降低机构运转时的振动现象。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-03,0x2203,位置控制前馈增益平滑常数,DRV's Parameter  P2-03,UINT,16,rw,RT,| ms |,| 2 ~ 100 |,| 5 |,| PT / PR |,P2,—,| 位置控制命令平滑变动时，降低平滑常数值可改善位置跟随误差量。若位置控制命令不平滑变动时，加大平滑常数值可降低机构运转时的振动现象。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-04,0x2204,速度控制比例增益,DRV's Parameter  P2-04,UINT,16,rw,RT,| rad/s |,| 0 ~ 8191 |,| 500 |,| PT / PR / S / Sz |,P2,—,| 速度控制增益值加大时，可提升速度应答性。但若设定太大，容易产生振动及噪音。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-05,0x2205,速度控制增益变动比率,DRV's Parameter  P2-05,UINT,16,rw,RT,| % |,| 10 ~ 500 |,| 100 |,| PT / PR / S / Sz |,P2,—,| 依据增益切换条件切换速度控制增益(P2.004)之变动率。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-06,0x2206,速度积分补偿,DRV's Parameter  P2-06,UINT,16,rw,RT,| rad/s |,| 0 ~ 1023 |,| 100 |,| PT / PR / S / Sz |,P2,—,| 速度控制积分值加大时，可提升速度应答性及缩小速度控制误差量。但若设定太大，容易产生振动及噪音。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-07,0x2207,速度前馈增益,DRV's Parameter  P2-07,UINT,16,rw,RT,| % |,| 0 ~ 100 |,| 0 |,| PT / PR / S / Sz |,P2,—,| 速度控制命令平滑变动时，增益值加大可改善速度跟随误差量。若速度控制命令不平滑变动时，降低增益值可降低机构运转时的振动现象。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-08,0x2208,■,DRV's Parameter  P2-08,UINT,16,rw,RT,| - |,| 0 ~ 501 |,| 0 |,| All |,P2,—,| 设定值 | 功能 | 10 | P0 ~ P7群参数重置(重置后请重新上电) | 18 | PM群参数重置(重置后请重新上电) | 20 | P4.010可写入 | 22 | P4.011 ~ P4.021可写入 | 30、35 | 储存Compare、Capture及E-Cam的数据 | 406 | 开启强制DO模式 | 400 | 在开启强制DO模式下，可立即切换回正常DO模式 | > |
P2-09,0x2209,数字输入接脚DI输入响应滤波时间,DRV's Parameter  P2-09,UINT,16,rw,RT,| ms |,| 0 ~ 100 |,| 2 |,| All |,P2,—,| 环境杂波较大时，提升设定值可增加控制可靠性。若数值太大时，将影响响应时间。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-10,0x220A,数字输入接脚DI1功能规划,DRV's Parameter  P2-10,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0101 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| YX | 输入功能选择 | Z | 输入接点：属性为A或B接点 | - | - | U | 保留 | YX：输入功能选择 | 所代表的功能请参考表8.1。 | Z：输入接点：属性为A或B接点 | 0：设定输入接点为常闭B接点。 | 1：设定输入接点为常开A接点。 | 当参数重新修正后，请重新启动电源以确保功能正常运作。请注意，用户可藉由P3.006参数决定DI的控制来源为外部端子或通讯参数P4
P2-11,0x220B,数字输入接脚DI2功能规划,DRV's Parameter  P2-11,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0104 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-12,0x220C,数字输入接脚DI3功能规划,DRV's Parameter  P2-12,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0116 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-13,0x220D,数字输入接脚DI4功能规划,DRV's Parameter  P2-13,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0117 (A3-L, A3-M) | 0x0124 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-14,0x220E,数字输入接脚DI5功能规划,DRV's Parameter  P2-14,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0102 (A3-L, A3-M) | 0x0022 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-15,0x220F,数字输入接脚DI6功能规划,DRV's Parameter  P2-15,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0022 (A3-L, A3-M) | 0x0023 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-16,0x2210,数字输入接脚DI7功能规划,DRV's Parameter  P2-16,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0023 (A3-L, A3-M) | 0x0021 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-17,0x2211,数字输入接脚DI8功能规划,DRV's Parameter  P2-17,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,"| 0x0021 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.010的说明。 | A3-F与A3-E机种无DI8，此参数为虚拟数字输入，用于通讯触发或使用于DI点数不够的应用。用户可将一上电即需使用的DI，如Servo On等，直接设为B接点在虚拟数字输入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-18,0x2212,数字输出接脚DO1功能规划,DRV's Parameter  P2-18,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x014F | (后两码为DO码) |,| 0x0101 |,| All |,P2,—,| YX | 输出功能选择 | Z | 输出接点：属性为A或B接点 | - | - | U | 保留 | YX：输出功能选择 | 所代表的功能请参考表8.2。 | Z：输出接点：属性为a或b接点 | 0：设定输出接点为常闭b接点。 | 1：设定输出接点为常开a接点。 | 当参数重新修正后，请重新启动电源以确保功能正常运作。 | > | [参数列表] | [2022/10]-[2023/04/13M
P2-19,0x2213,数字输出接脚DO2功能规划,DRV's Parameter  P2-19,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x014F | (后两码为DO码) |,"| 0x0103 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.018的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-20,0x2214,数字输出接脚DO3功能规划,DRV's Parameter  P2-20,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x014F | (后两码为DO码) |,"| 0x0109 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.018的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-21,0x2215,数字输出接脚DO4功能规划,DRV's Parameter  P2-21,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x014F | (后两码为DO码) |,"| 0x0105 (A3-L, A3-M) | 0x0007 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.018的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-22,0x2216,数字输出接脚DO5功能规划,DRV's Parameter  P2-22,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x014F | (后两码为DO码) |,"| 0x0007 (A3-L, A3-M) | 0x0100 (A3-F, A3-E) |",| All |,P2,—,| 请参考P2.018的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-23,0x2217,共振抑制Notch filter 1 - 频率,DRV's Parameter  P2-23,UINT,16,rw,RT,| Hz |,| 50 ~ 5000 |,| 1000 |,| All |,P2,—,| 第一组机械共振频率设定值。若P2.024设为0时，表示关闭Notch filter 1功能。P2.023、P2.024、P2.095为第一组共振抑制Notch filter。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-24,0x2218,共振抑制Notch filter 1 - 衰减率,DRV's Parameter  P2-24,UINT,16,rw,RT,| -dB |,| 0 ~ 40 |,| 0 |,| All |,P2,—,| 第一组共振抑制Notch filter衰减率。若将衰减率的值设定为5，则为-5 dB。设为0时，关闭Notch filter 1功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-25,0x2219,共振抑制低通滤波器,DRV's Parameter  P2-25,UINT,16,rw,RT,| 1 ms | 0.1 ms | - | - |,| 0.0 ~ 100.0 | 0 ~ 1000 | - | - |,,| All | 初值： | 1.0 | 10 | 资料大小： | 16-bit |,P2,—,| 设定共振抑制低通滤波时间常数。设为0时，则关闭低通滤波功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-26,0x221A,外部干扰抵抗增益,DRV's Parameter  P2-26,UINT,16,rw,RT,| rad/s |,| 0 ~ 1023 |,| 0 |,| PT / PR / S / Sz |,P2,—,| 调大此参数会增加速度回路的阻尼，降低速度环响应。建议将P2.026的设定值设定为同等于P2.006的设定值。如要调整P2.026，建议参考以下规则： | 在速度模式下，调高此参数可以降低速度过冲。 | 在位置模式下，调低此参数可以降低位置过冲。 | 注：此增益参数在双自由度功能开启时(P2.094 [Bit 12] = 1)是无作用的。 | > | [参数列表] | [2022/10]-[20
P2-27,0x221B,增益切换条件及切换方式选择,DRV's Parameter  P2-27,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0018 |,| 0x0000 |,| 详见X：增益切换条件 |,P2,—,| X | 增益切换条件 | Z | 保留 | Y | 增益切换方式 | U | 保留 | X：增益切换条件 | X | 条件 | 控制模式 | P1.078 | 增益切换延迟时间 | 0 | 关闭增益切换功能 | - | - | 1 | 增益切换(DI.GAINUP：0x03)信号On时 | ALL | - | 2 | 位置控制模式下，位置误差大于P2.029的设定值时 | PT / PR | 
P2-28,0x221C,增益切换时间常数,DRV's Parameter  P2-28,UINT,16,rw,RT,| ms |,| 0 ~ 1000 |,| 10 |,| 详见P2.027.X：增益切换条件 |,P2,—,| 切换时间常数用于平滑增益(P2.027)之变换。将此参数设为0，表示关闭此功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-29,0x221D,增益切换条件,DRV's Parameter  P2-29,UDINT,32,rw,RT,| pulse；Kpps；rpm (mm/s) |,| 0 ~ 50331648 |,| 16777216 |,| 详见P2.027.X：增益切换条件 |,P2,—,| 切换条件值的单位会依切换条件(P2.027.X)选择项目不同而异。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-30,0x221E,■,DRV's Parameter  P2-30,UINT,16,rw,RT,| - |,| -8 ~ +8 |,| 0 |,| All |,P2,—,| 设定值 | 功能 | 0 | 关闭所有下述功能。 | 1 | 强制伺服Servo On。 | 5 | 设定后，各参数之设定值于断电后不保持。面板与通讯连续写入的数据不须永久储存时，设定此值可防止EEPROM因连续写入而减短寿命。若使用通讯控制时必须设定。 | 6 | 此设定将开启Simulation mode (命令模拟)。在此状态下，请使用ASDA-Soft中的数字IO窗口使伺服Servo 
P2-31,0x221F,带宽响应层级,DRV's Parameter  P2-31,UINT,16,rw,RT,| - |,| 1 ~ 50 |,| 19 |,| All |,P2,—,| 在增益模式(P2.032)下，用户可简易通过带宽响应层级(P2.031)来调整伺服带宽。用户调高带宽响应层级(P2.031)时，也会同时调高伺服带宽。详细调整方式请见第五章。 | 注：直线电机不支持带宽响应层级的设定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-32,0x2220,增益调整模式,DRV's Parameter  P2-32,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0006 |,| 0x0001 |,| All |,P2,—,| 伺服驱动器提供以下增益模式供用户做微调。用户只需通过加大或减少带宽响应层级 (P2.031)，即可轻松完成调机。建议依照5.1节调机流程的顺序来调机。 | 设定值 | 调整模式 | 惯量估测 | 参数 | 手动调整 | 自动调整 | 0 | 手动 | 固定于参数P1.037的设定值 | P1.037、P2.000、P2.004、P2.006、P2.023、P2.024、 P2.025、P2.0
P2-33,0x2221,保留,DRV's Parameter  P2-33,UINT,16,rw,RT,,,,,P2,—,
P2-34,0x2222,速度控制误差过大警告条件,DRV's Parameter  P2-34,UINT,16,rw,RT,| 1 rpm(旋转)* | 1 mm/s(直线)* |,| 1 ~ 30000 (旋转)* | 1 ~ 15999 (直线)* |,| 5000 |,| S / Sz |,P2,—,| 在速度模式下，此参数用来设定速度命令与速度回授之间的容许误差，若误差大于此设定值，驱动器即显示异警AL007。 | 注：当P2.094 [Bit 6] = 1 时，此参数支持位置模式(PT、PR)与速度模式(S、Sz)。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
